Ion Beam Dose (Gy),Zeta Potential (mV)
4.041166408059413,8.415454433900926,0.63% silicon dioxide
7.177536528476233,8.585711199452515,0.63% silicon dioxide
7.657650110214185,9.673531976540586,0.63% silicon dioxide
11.128362770920146,12.783073688233367,0.63% silicon dioxide
11.851730920879502,8.934366768431426,0.63% silicon dioxide
4.041166408059413,8.321895657580148,0.55% silicon dioxide
7.177536528476233,8.53628382098463,0.55% silicon dioxide
7.657650110214185,10.561238305149171,0.55% silicon dioxide
11.128362770920146,9.281891903240263,0.55% silicon dioxide
11.851730920879502,10.760658821530775,0.55% silicon dioxide
4.041166408059413,-3.5788016436530117,0.66% silicon dioxide
7.177536528476233,-3.7864591139163455,0.66% silicon dioxide
7.657650110214185,-3.8149733675995336,0.66% silicon dioxide
11.128362770920146,-3.875414164735923,0.66% silicon dioxide
11.851730920879502,-3.880617955027457,0.66% silicon dioxide
