Calcination Time (h),Tensile Strength (MPa)
5,-0.287780487388936,0.43% graphene oxide/PBD
6,1.6080246889489285,0.43% graphene oxide/PBD
11,17.819599647681198,0.43% graphene oxide/PBD
5,-0.7387269661281888,0.85% graphene oxide/PBD
6,-0.9534152839612235,0.85% graphene oxide/PBD
11,1.8498336989641624,0.85% graphene oxide/PBD
5,1.6890164242966696,0.43% graphene oxide/PBD
6,1.6140078242957854,0.43% graphene oxide/PBD
11,1.3964391242262126,0.43% graphene oxide/PBD
5,-4.2217272772838195,0.14% graphene oxide/PBD
6,-6.112891618868622,0.14% graphene oxide/PBD
11,-4.861113741173618,0.14% graphene oxide/PBD
