Evaporation Temperature (°C),Toughness (MJ/m³)
1.3804782070972332,-5.221655584265417,PHEA
4.174164228854227,-4.160540679588108,PHEA
5.071334022564917,-4.024414435049249,PHEA
6.048159071719517,-4.383330444326649,PHEA
12.978814381412974,-0.33578146645329987,PHEA
1.3804782070972332,7.2901629031992385,PPSF
4.174164228854227,6.970857168083452,PPSF
5.071334022564917,7.008081102033825,PPSF
6.048159071719517,6.864522680295296,PPSF
12.978814381412974,6.613632342033209,PPSF
1.3804782070972332,4.911438132387358,PANa
4.174164228854227,5.212295920413223,PANa
5.071334022564917,5.0162454827621215,PANa
6.048159071719517,5.223426202816538,PANa
12.978814381412974,6.825214386406571,PANa
