Melting Temperature (°C),Particle Size (nm)
9.503233767022186,14.771915410511467,0.84% rGO/BR
9.748993469567163,31.80997124943378,0.84% rGO/BR
13.882121062002671,95.14042861104274,0.84% rGO/BR
13.92337256075792,-24.2658032778724,0.84% rGO/BR
9.503233767022186,-2.7031283551014273,0.57% rGO/BR
9.748993469567163,-2.246558504756445,0.57% rGO/BR
13.882121062002671,2.0435000987844534,0.57% rGO/BR
13.92337256075792,1.6289357609894504,0.57% rGO/BR
9.503233767022186,31.023483989604323,0.15% rGO/BR
9.748993469567163,1.1053480354339893,0.15% rGO/BR
13.882121062002671,44.63727432571721,0.15% rGO/BR
13.92337256075792,56.82960316852808,0.15% rGO/BR
