Mixing Time (min),Tensile Modulus (GPa)
8,-0.3828970289124971,0.56% 9-Anthracenemethanol
12,41.73880263976663,0.56% 9-Anthracenemethanol
14,125.5923690038607,0.56% 9-Anthracenemethanol
19,765.508324408127,0.56% 9-Anthracenemethanol
8,21.263585636865105,0.92% 9-Anthracenemethanol
12,36.632159414456,0.92% 9-Anthracenemethanol
14,100.16191645054249,0.92% 9-Anthracenemethanol
19,-343.9882904183228,0.92% 9-Anthracenemethanol
8,6.921188498172442,0.11% 9-Anthracenemethanol
12,6.7022013864957195,0.11% 9-Anthracenemethanol
14,6.664568272143116,0.11% 9-Anthracenemethanol
19,6.559317843653926,0.11% 9-Anthracenemethanol
