Incubation Temperature (°C),Magnetic Susceptibility
3.680920979544886,-2.7081861620239933,Poly(acrylamide)
5.822032532896015,-1.8048842344087812,Poly(acrylamide)
12.506049062484315,1.6473772680862702,Poly(acrylamide)
12.942228711092357,-2.103373523905315,Poly(acrylamide)
17.788484062193284,16.916292831680288,Poly(acrylamide)
4.009547467239805,7.988388295283046,S-SEBS
8.590302607973108,7.759546266515502,S-SEBS
9.573305162463443,7.730647011666523,S-SEBS
13.37618230580456,7.615175607210121,S-SEBS
19.878498802361648,7.510423529355622,S-SEBS
