Thermal Diffusivity (mm²/s),Thermal Expansion (1/K)
2.304157580507944,9.20956463750335,0.46% White spirits/PVP
8.023527292701962,8.813720203671712,0.46% White spirits/PVP
8.71597622316308,8.825994994425187,0.46% White spirits/PVP
19.461563904676574,1.2332598140736932,0.46% White spirits/PVP
3.043425685291208,-0.8099193139187415,0.22% White spirits/PVP
8.72675963155191,-1.28758067268042,0.22% White spirits/PVP
16.173037946954388,-1.3457870672267276,0.22% White spirits/PVP
18.38702034619717,-1.3494711398205157,0.22% White spirits/PVP
0,-5.027454127531459,0.5% White spirits/PVP
11,-5.7157695911885185,0.5% White spirits/PVP
12,-5.7535867204233355,0.5% White spirits/PVP
13,-5.783258939228292,0.5% White spirits/PVP
1.9549896913115439,-0.5150856263030914,0.01% White spirits/PVP
2.0481057767763033,-0.5549280525112955,0.01% White spirits/PVP
8.72417071812151,-0.9317566944238229,0.01% White spirits/PVP
15.100760493989615,-1.1368729379460074,0.01% White spirits/PVP
