Synthesis Temperature (°C),Coefficient Of Thermal Expansion (1/K)
3.72135798537395,-4.519712778289309,0.78% Silver nitrate/Poly(styrene-co-acrylonitrile)
4.098991668036593,-4.558684135076227,0.78% Silver nitrate/Poly(styrene-co-acrylonitrile)
6.673023248318186,-4.690046746255239,0.78% Silver nitrate/Poly(styrene-co-acrylonitrile)
13.290708035939975,-4.796442831678614,0.78% Silver nitrate/Poly(styrene-co-acrylonitrile)
18.425290445956676,-4.81078591062357,0.78% Silver nitrate/Poly(styrene-co-acrylonitrile)
3.72135798537395,-7.360569507525071,0.81% Silver nitrate/Poly(styrene-co-acrylonitrile)
4.098991668036593,-7.32873382858758,0.81% Silver nitrate/Poly(styrene-co-acrylonitrile)
6.673023248318186,-7.499904461258209,0.81% Silver nitrate/Poly(styrene-co-acrylonitrile)
13.290708035939975,-7.69182314806233,0.81% Silver nitrate/Poly(styrene-co-acrylonitrile)
18.425290445956676,-7.794511649070449,0.81% Silver nitrate/Poly(styrene-co-acrylonitrile)
3.72135798537395,2.9508311426772833,0.07% Silver nitrate/Poly(styrene-co-acrylonitrile)
4.098991668036593,3.005049566854496,0.07% Silver nitrate/Poly(styrene-co-acrylonitrile)
6.673023248318186,2.8325026067844483,0.07% Silver nitrate/Poly(styrene-co-acrylonitrile)
13.290708035939975,2.710974108316753,0.07% Silver nitrate/Poly(styrene-co-acrylonitrile)
18.425290445956676,2.6957705327884187,0.07% Silver nitrate/Poly(styrene-co-acrylonitrile)
3.72135798537395,-6.112827531896423,0.61% Silver nitrate/Poly(styrene-co-acrylonitrile)
4.098991668036593,-6.1837016791473465,0.61% Silver nitrate/Poly(styrene-co-acrylonitrile)
6.673023248318186,-6.34654347242549,0.61% Silver nitrate/Poly(styrene-co-acrylonitrile)
13.290708035939975,-6.445516933144673,0.61% Silver nitrate/Poly(styrene-co-acrylonitrile)
18.425290445956676,-6.459192310477135,0.61% Silver nitrate/Poly(styrene-co-acrylonitrile)
