Volume Fraction (%),Hysteresis Loss (J/m³)
0,-0.7374302237362304,
5,-1.242766429401301,
16,-1.4825874884040477,
19,-1.4874276336990155,
3.5062585255657064,1.8388803957948059,
6.374884466059729,1.7931413990016394,
15.766115592027178,1.4062150112607739,
16.084381326866037,1.3913506267754727,
0,3.40605465313879,
5,3.8139000711506577,
7,5.299480855114157,
11,7.5714979764341654,
3,-2.1558564670191456,
4,-1.7228573295568976,
6,1.1190263708404897,
13,60.052439311873286,
3,3.736475372589924,
4,3.5907551647587037,
7,3.39323411397432,
16,3.274186441668082,
