Surfactant Concentration (M),Electrochemical Potential (V)
0.8941921637708172,-2.084407136571418,silver hexafluoroantimonate/VER
15.570914892773203,-2.829312388697481,silver hexafluoroantimonate/VER
17.56787415158763,-2.8743665680300525,silver hexafluoroantimonate/VER
2.357598307506641,-4.3542438653755955,Copper(II) phenyl phosphate/VER
8.456036893801308,-4.858722299485942,Copper(II) phenyl phosphate/VER
9.281392745246224,-4.878213648221362,Copper(II) phenyl phosphate/VER
4.088406882862383,-4.76835819302465,Al2O3/VER
15.536755359446854,-5.20887034028093,Al2O3/VER
18.914722099065532,-5.262193481446451,Al2O3/VER
9.087965961681588,4.058928791080443,TPP/VER
10.24478233739529,4.047612099417704,TPP/VER
11.283452532916069,4.035882613442818,TPP/VER
