Melting Temperature (°C),Ionic Conductivity (S/m)
0.5707230884840842,-2.256768939165954,0.59% OAP-POSS/S-SBR
1.5063393693795857,-1.3974469021322802,0.59% OAP-POSS/S-SBR
11.911521155392116,18.2276818709434,0.59% OAP-POSS/S-SBR
14.788175144609202,41.23768486283257,0.59% OAP-POSS/S-SBR
0.5707230884840842,6.84400443725086,0.35% OAP-POSS/S-SBR
1.5063393693795857,6.514295994585375,0.35% OAP-POSS/S-SBR
11.911521155392116,5.9135096977936925,0.35% OAP-POSS/S-SBR
14.788175144609202,5.841517243901835,0.35% OAP-POSS/S-SBR
0.5707230884840842,2.934080168589162,0.37% OAP-POSS/S-SBR
1.5063393693795857,3.138175550331829,0.37% OAP-POSS/S-SBR
11.911521155392116,40.495799019893894,0.37% OAP-POSS/S-SBR
14.788175144609202,179.03093308393298,0.37% OAP-POSS/S-SBR
