Calcination Time (h),Thermal Conductivity (W/(m·K))
8,-5.620352004055778,0.15% Poly(acrylonitrile)
14,-5.8393129044858165,0.15% Poly(acrylonitrile)
16,-5.8738498332061635,0.15% Poly(acrylonitrile)
17,-5.9034197546878255,0.15% Poly(acrylonitrile)
19,-5.932042239320292,0.15% Poly(acrylonitrile)
8,1.0778749673298633,0.33% Poly(acrylonitrile)
14,1.6647699879927513,0.33% Poly(acrylonitrile)
16,5.518738149647894,0.33% Poly(acrylonitrile)
17,0.5123117885549036,0.33% Poly(acrylonitrile)
19,8.487639594041534,0.33% Poly(acrylonitrile)
8,10.76749150978864,0.68% Poly(acrylonitrile)
14,65.87020682493433,0.68% Poly(acrylonitrile)
16,77.7962057004646,0.68% Poly(acrylonitrile)
17,178.93797273698453,0.68% Poly(acrylonitrile)
19,389.5154726273283,0.68% Poly(acrylonitrile)
