Reaction Temperature (°C),Magnetic Susceptibility
0,-0.3008377050834523,0.27% SiO2
7,5.681817279686049,0.27% SiO2
15,180.0494427771516,0.27% SiO2
17,320.48216468954683,0.27% SiO2
0,8.659066117639547,0.16% SiO2
7,9.4211965290345,0.16% SiO2
15,6.4041049957722835,0.16% SiO2
17,6.3973155305873535,0.16% SiO2
0,-0.8610821965550169,0.92% SiO2
7,-1.3294967953040073,0.92% SiO2
15,-1.4487402830234832,0.92% SiO2
17,-1.453427313527375,0.92% SiO2
0,3.585770240764022,0.42% SiO2
7,2.9896742477881038,0.42% SiO2
15,2.8823540150456544,0.42% SiO2
17,2.8772269311278436,0.42% SiO2
0,-5.9701077272617775,0.86% SiO2
7,6.642733476976014,0.86% SiO2
15,-161.90934690689514,0.86% SiO2
17,-78.80800792333405,0.86% SiO2
