Strain,Degradation Temperature (°C)
3.089566182018364,3.9660829392266534,Titanate nanotubes/PAI
6.33620950350404,4.498150162794685,Titanate nanotubes/PAI
8.172134944699739,5.83929472212462,Titanate nanotubes/PAI
14.925337188779306,5.594043833648371,Titanate nanotubes/PAI
18.55434083314233,10.949632426150062,Titanate nanotubes/PAI
19.719265657081287,7.415022629094752,Titanate nanotubes/PAI
3.089566182018364,2.141369614520346,MWNT/PAI
6.33620950350404,1.819731731922447,MWNT/PAI
8.172134944699739,1.7361810600257455,MWNT/PAI
14.925337188779306,1.4810960940313875,MWNT/PAI
18.55434083314233,1.413832530660147,MWNT/PAI
19.719265657081287,1.3995921740616224,MWNT/PAI
3.089566182018364,-1.0630694708839523,single-walled CNT/PAI
6.33620950350404,-1.4154329311196812,single-walled CNT/PAI
8.172134944699739,-1.4774397722100503,single-walled CNT/PAI
14.925337188779306,-1.5407172839182344,single-walled CNT/PAI
18.55434083314233,-1.5487818522535244,single-walled CNT/PAI
19.719265657081287,-1.5498024551675005,single-walled CNT/PAI
