Reaction Temperature (°C),Thermal Expansion (1/K)
1,-1.5627926809150288,CaCu3Ti4O12/Poly(caprolactone)
3,-1.9078990115472716,CaCu3Ti4O12/Poly(caprolactone)
4,-2.025995576699687,CaCu3Ti4O12/Poly(caprolactone)
6,-2.1640933060682994,CaCu3Ti4O12/Poly(caprolactone)
13,-2.2883297938507137,CaCu3Ti4O12/Poly(caprolactone)
18,-2.301728066996808,CaCu3Ti4O12/Poly(caprolactone)
19,-2.302679992803707,CaCu3Ti4O12/Poly(caprolactone)
1,8.064262802334051,MgO/Poly(caprolactone)
3,8.158613757821103,MgO/Poly(caprolactone)
4,8.154407158658909,MgO/Poly(caprolactone)
6,7.910857838185043,MgO/Poly(caprolactone)
13,7.633960250684205,MgO/Poly(caprolactone)
18,7.522770557123586,MgO/Poly(caprolactone)
19,7.5152881451323745,MgO/Poly(caprolactone)
1,-0.9603337755422028,graphene nanoribbon/Poly(caprolactone)
3,-1.4242290492197158,graphene nanoribbon/Poly(caprolactone)
4,-1.3258739843858067,graphene nanoribbon/Poly(caprolactone)
6,-1.502572709506471,graphene nanoribbon/Poly(caprolactone)
13,-1.807231229895482,graphene nanoribbon/Poly(caprolactone)
18,-1.9177785365219568,graphene nanoribbon/Poly(caprolactone)
19,-1.9362459089631698,graphene nanoribbon/Poly(caprolactone)
1,1.411631616002475,Silicon dioxide/Poly(caprolactone)
3,0.9939617153825564,Silicon dioxide/Poly(caprolactone)
4,0.9347986235721191,Silicon dioxide/Poly(caprolactone)
6,0.7385554973394708,Silicon dioxide/Poly(caprolactone)
13,0.5981480514375916,Silicon dioxide/Poly(caprolactone)
18,0.5807872782716121,Silicon dioxide/Poly(caprolactone)
19,0.5800396283653152,Silicon dioxide/Poly(caprolactone)
