Electric Field (V/m),Pore Size (nm)
0.505053684464345,7.376969918517981,Poly(2-hydroxyethyl methacrylate)
3.4747391419693785,7.495894079887478,Poly(2-hydroxyethyl methacrylate)
8.452007200143763,19.651280275260163,Poly(2-hydroxyethyl methacrylate)
14.29621742552375,83.9935087775796,Poly(2-hydroxyethyl methacrylate)
16.299417264468865,-29.45184961034834,Poly(2-hydroxyethyl methacrylate)
0.505053684464345,-6.421819036360031,PP
3.4747391419693785,-4.433215714215587,PP
8.452007200143763,10.034364039386643,PP
14.29621742552375,-1.262077443298109,PP
16.299417264468865,175.44133495763379,PP
