Particle Diameter (nm),Polarization Resistance (Ω·m²)
2.5884421164160187,1.0629494006839244,0.76% Calcium copper titanate
10.147479908592427,2.3676194882288657,0.76% Calcium copper titanate
10.268197948028977,0.009432956755822453,0.76% Calcium copper titanate
16.25115203044413,-0.2666682789363817,0.76% Calcium copper titanate
2.5884421164160187,2.8368996787313474,0.1% Calcium copper titanate
10.147479908592427,3.2183102331569007,0.1% Calcium copper titanate
10.268197948028977,1.0682977793861963,0.1% Calcium copper titanate
16.25115203044413,9.055445558053338,0.1% Calcium copper titanate
2.5884421164160187,-1.5082166431093391,0.5% Calcium copper titanate
10.147479908592427,24.675508300575647,0.5% Calcium copper titanate
10.268197948028977,15.730525080016871,0.5% Calcium copper titanate
16.25115203044413,125.9850390731976,0.5% Calcium copper titanate
2.5884421164160187,-6.941074237501277,0.17% Calcium copper titanate
10.147479908592427,-7.485514320425174,0.17% Calcium copper titanate
10.268197948028977,-7.506478728086627,0.17% Calcium copper titanate
16.25115203044413,-7.641173873576522,0.17% Calcium copper titanate
2.5884421164160187,8.633159880447492,0.87% Calcium copper titanate
10.147479908592427,7.95973882390133,0.87% Calcium copper titanate
10.268197948028977,9.834905186473215,0.87% Calcium copper titanate
16.25115203044413,12.448340543838576,0.87% Calcium copper titanate
