Thickness (µm),Remanence (A/m)
8,-5.0624523908729495,0.1% Aluminium dioxide
9,-5.1549500664760775,0.1% Aluminium dioxide
11,-5.210629684527295,0.1% Aluminium dioxide
19,-5.374113299236132,0.1% Aluminium dioxide
4.747621060697876,0.9340110740725058,0.54% Aluminium dioxide
10.265287115155013,0.6975049558861928,0.54% Aluminium dioxide
11.888432293283016,0.6748512993317932,0.54% Aluminium dioxide
12.706873978740923,0.6700122916071323,0.54% Aluminium dioxide
10.209341650813125,8.377794135611378,0.14% Aluminium dioxide
16.727772748705952,-20.183399838175866,0.14% Aluminium dioxide
16.768299165507262,226.17296807322336,0.14% Aluminium dioxide
19.11421028207451,199.71164241444097,0.14% Aluminium dioxide
3.470066604588129,-0.20876341828494782,0.38% Aluminium dioxide
13.809853820326286,-0.5459662296181925,0.38% Aluminium dioxide
14.75212029750434,-0.588852816509059,0.38% Aluminium dioxide
19.000517968096766,-0.6401495725103632,0.38% Aluminium dioxide
