Surfactant Concentration (M),Dielectric Loss
1,2.023533030702476,Poly(styrene-b-butadiene)
3,1.656651703462654,Poly(styrene-b-butadiene)
4,1.3712476887489058,Poly(styrene-b-butadiene)
12,1.2221134508614209,Poly(styrene-b-butadiene)
17,1.2020511172091488,Poly(styrene-b-butadiene)
1,0.07409978605106637,Poly(BA-a)
3,1.1157287218239964,Poly(BA-a)
4,1.0186691325698791,Poly(BA-a)
12,-20.442642370845117,Poly(BA-a)
17,227.68154560164965,Poly(BA-a)
1,-0.3484706888597904,Polyphenylsulfone
3,-0.8568165594446967,Polyphenylsulfone
4,-1.0745235932003474,Polyphenylsulfone
12,-1.324165694985814,Polyphenylsulfone
17,-1.4619613484268457,Polyphenylsulfone
1,-3.943065481190693,P(VDF-TrFE)
3,-4.23775017657768,P(VDF-TrFE)
4,-4.480443524612021,P(VDF-TrFE)
12,-4.752903720086933,P(VDF-TrFE)
17,-4.859917582447443,P(VDF-TrFE)
1,8.614307164908013,PMMA-PnBA-PMMA
3,8.476623071976944,PMMA-PnBA-PMMA
4,8.373508991252262,PMMA-PnBA-PMMA
12,8.053604126729606,PMMA-PnBA-PMMA
17,7.930434394415623,PMMA-PnBA-PMMA
