Thermal Diffusivity (mm²/s),Magnetization (A/m)
2.6622862556116167,-5.420975227218484,Poly(methyl methacrylate)
7.915263256275118,-3.6638843512869608,Poly(methyl methacrylate)
18.42020373018892,-3.384306639351313,Poly(methyl methacrylate)
2.6622862556116167,6.431960452186668,Poly(acrylic acid)
7.915263256275118,11.483900180145962,Poly(acrylic acid)
18.42020373018892,209.98960997056648,Poly(acrylic acid)
2.6622862556116167,1.5306669075069501,PVAC
7.915263256275118,1.2279743570137998,PVAC
18.42020373018892,1.1384641562243694,PVAC
2.6622862556116167,2.262728690536104,PUR
7.915263256275118,1.8982714561027978,PUR
18.42020373018892,1.8155784271805402,PUR
