Aging Temperature (°C),Conductivity (S/m)
4.118447053733694,-2.92657103760293,Carbon Black/PVAL
9.255102184429344,-3.331984238597293,Carbon Black/PVAL
12.53273096980141,-3.3748928661144935,Carbon Black/PVAL
16.688937152068483,-3.4682895220885244,Carbon Black/PVAL
4.118447053733694,-1.8203770286489553,Barium Titanate/PVAL
9.255102184429344,13.89707622662999,Barium Titanate/PVAL
12.53273096980141,14.462252189115516,Barium Titanate/PVAL
16.688937152068483,74.84773800163457,Barium Titanate/PVAL
4.118447053733694,-1.2393504466377916,Calcium carbonate/PVAL
9.255102184429344,-1.4119944765011718,Calcium carbonate/PVAL
12.53273096980141,-1.4469136544952041,Calcium carbonate/PVAL
16.688937152068483,-1.4658311960189865,Calcium carbonate/PVAL
