Calcination Time (h),Peel Strength (N/m)
1.5719915980925547,2.9798602188360426,0.18% CaCu3Ti4O12/Epoxy novolac viny ester resin
3.939376510578445,2.7548232020912695,0.18% CaCu3Ti4O12/Epoxy novolac viny ester resin
8.604457754454689,2.613052369501483,0.18% CaCu3Ti4O12/Epoxy novolac viny ester resin
0.6035749494897824,3.887271168551525,0.59% CaCu3Ti4O12/Epoxy novolac viny ester resin
9.611259911378113,20.21729349285286,0.59% CaCu3Ti4O12/Epoxy novolac viny ester resin
18.421557830756676,-712.4985638777271,0.59% CaCu3Ti4O12/Epoxy novolac viny ester resin
12.4401406830728,53.26872720572243,0.56% CaCu3Ti4O12/Epoxy novolac viny ester resin
14.283148976924846,-28.057581708616574,0.56% CaCu3Ti4O12/Epoxy novolac viny ester resin
15.027618050913995,-21.844493490404467,0.56% CaCu3Ti4O12/Epoxy novolac viny ester resin
0,-1.4975597297585452,0.33% CaCu3Ti4O12/Epoxy novolac viny ester resin
1,-1.810315657281754,0.33% CaCu3Ti4O12/Epoxy novolac viny ester resin
16,182.83567948302831,0.33% CaCu3Ti4O12/Epoxy novolac viny ester resin
5,1.2811858797151747,0.51% CaCu3Ti4O12/Epoxy novolac viny ester resin
11,0.9153709768269829,0.51% CaCu3Ti4O12/Epoxy novolac viny ester resin
15,0.7879299266714219,0.51% CaCu3Ti4O12/Epoxy novolac viny ester resin
