Ion Beam Dose (Gy),Surface Area (m²/g)
2.0256156602337505,5.921334892015538,0.77% Colloidal silica
8.729165215645535,5.689290396640284,0.77% Colloidal silica
11.931589939230914,5.536276545975358,0.77% Colloidal silica
15.90547569447163,5.37811755573008,0.77% Colloidal silica
16.562001274423597,5.373683524974123,0.77% Colloidal silica
2.0256156602337505,4.527623415641343,0.04% Colloidal silica
8.729165215645535,4.223940762182982,0.04% Colloidal silica
11.931589939230914,4.104607350811538,0.04% Colloidal silica
15.90547569447163,4.004581506782927,0.04% Colloidal silica
16.562001274423597,3.9905418028064368,0.04% Colloidal silica
2.0256156602337505,-3.067945635382448,0.98% Colloidal silica
8.729165215645535,-3.6752884253430924,0.98% Colloidal silica
11.931589939230914,-3.8357247197179927,0.98% Colloidal silica
15.90547569447163,-3.9378465089659516,0.98% Colloidal silica
16.562001274423597,-3.9388641323887277,0.98% Colloidal silica
2.0256156602337505,4.121997707782468,0.53% Colloidal silica
8.729165215645535,17.81865675685738,0.53% Colloidal silica
11.931589939230914,27.943277077273265,0.53% Colloidal silica
15.90547569447163,138.7774985333497,0.53% Colloidal silica
16.562001274423597,101.37684097925927,0.53% Colloidal silica
