Hardness (HV),Galvanic Potential (V)
1,0.8347927890633732,zirconium dioxide/PVA
9,0.5191408091496326,zirconium dioxide/PVA
11,0.44108629808868416,zirconium dioxide/PVA
15,0.3575660348956611,zirconium dioxide/PVA
18,0.3042715138919556,zirconium dioxide/PVA
19,0.2758073763792773,zirconium dioxide/PVA
1,7.4277971993605645,single-walled CNT/PVA
9,18.7635929229888,single-walled CNT/PVA
11,45.32643553125984,single-walled CNT/PVA
15,27.109030046564726,single-walled CNT/PVA
18,-24.13726016746095,single-walled CNT/PVA
19,504.2599289161242,single-walled CNT/PVA
1,-4.21885711399689,dodecylbenzene sulfonic acid/PVA
9,-4.593753046560345,dodecylbenzene sulfonic acid/PVA
11,-4.635529949573358,dodecylbenzene sulfonic acid/PVA
15,-4.772048894169857,dodecylbenzene sulfonic acid/PVA
18,-4.8158702260105395,dodecylbenzene sulfonic acid/PVA
19,-4.839226949316673,dodecylbenzene sulfonic acid/PVA
1,8.249196133188935,MWNTs/PVA
9,7.52288520540689,MWNTs/PVA
11,7.495936931629994,MWNTs/PVA
15,7.472304391457356,MWNTs/PVA
18,7.465745409493321,MWNTs/PVA
19,7.464471947731146,MWNTs/PVA
