Young’s Modulus (GPa),Loss Factor
1,2.0995750078880113,Graphene oxide/PVDF
6,1.524858214433072,Graphene oxide/PVDF
7,1.61198410092163,Graphene oxide/PVDF
11,1.4413817246386234,Graphene oxide/PVDF
1,8.302123964113855,White mineral oil/PVDF
6,7.8456315573579145,White mineral oil/PVDF
7,7.798218719193836,White mineral oil/PVDF
11,7.721034788598464,White mineral oil/PVDF
1,-5.954492812210127,Ba0.7Sr0.3TiO3/PVDF
6,-2.849337646702657,Ba0.7Sr0.3TiO3/PVDF
7,5.177479830236168,Ba0.7Sr0.3TiO3/PVDF
11,22.95445687891516,Ba0.7Sr0.3TiO3/PVDF
