Heat Treatment Time (h),Magnetic Anisotropy (J/m³)
3.040947567608674,8.154085682322666,aluminum/Poly(ethyl methacrylate)
9.158074210272044,9.342659801276412,aluminum/Poly(ethyl methacrylate)
13.094393553715777,8.824455774812046,aluminum/Poly(ethyl methacrylate)
14.800334883946974,13.60749908331007,aluminum/Poly(ethyl methacrylate)
16.51881177684001,11.38951375260039,aluminum/Poly(ethyl methacrylate)
3.040947567608674,0.31297583231330367,single-walled CNTs/Poly(ethyl methacrylate)
9.158074210272044,-0.0625483712035586,single-walled CNTs/Poly(ethyl methacrylate)
13.094393553715777,-0.10590438576992248,single-walled CNTs/Poly(ethyl methacrylate)
14.800334883946974,-0.11151643155891507,single-walled CNTs/Poly(ethyl methacrylate)
16.51881177684001,-0.1170691939326088,single-walled CNTs/Poly(ethyl methacrylate)
