Light Intensity (W/m²),Ionic Conductivity (S/m)
10,-7.675953496943711,PEO
12,-7.691078296089157,PEO
14,-7.702539139005573,PEO
15,-7.706292269641637,PEO
18,-7.713377390845786,PEO
1,2.0184885820666016,Poly(caprolactone)
4,1.520461241432809,Poly(caprolactone)
6,1.3385453270234537,Poly(caprolactone)
16,1.167457558431928,Poly(caprolactone)
17,1.1655247862021731,Poly(caprolactone)
1,-5.225208950612205,P(VDF-CTFE)
2,-5.532886867763318,P(VDF-CTFE)
7,-5.6071086710868325,P(VDF-CTFE)
12,-5.773454773675833,P(VDF-CTFE)
18,-5.930714370211336,P(VDF-CTFE)
1.1237784026172903,2.093999123905024,Sodium polyacrylate
2.818657547858119,1.7815976885586031,Sodium polyacrylate
5.011710261552517,1.707298993675478,Sodium polyacrylate
6.2976520106462015,1.6559895921917176,Sodium polyacrylate
14.59316573314631,1.3547137064011834,Sodium polyacrylate
