Pore Volume (cm³/g),Poisson’s Ratio
0,-2.459553093917096,PPSF
5,-2.7616747419445864,PPSF
7,-2.7684757874737103,PPSF
8,-2.8343673012811457,PPSF
12,-3.0526163745421533,PPSF
0,-3.395331630882171,Poly(methyl methacrylate)
5,-3.6969326155352342,Poly(methyl methacrylate)
7,-3.7662058138183587,Poly(methyl methacrylate)
8,-3.8780985031316115,Poly(methyl methacrylate)
12,-4.042367979158891,Poly(methyl methacrylate)
0,-4.602539976086413,PA 6(3)T
5,-0.5443446719705296,PA 6(3)T
7,-1.4422570900779892,PA 6(3)T
8,6.215633408335789,PA 6(3)T
12,14.166533127750336,PA 6(3)T
0,-2.262950125609289,Poly(4-vinyl pyridine)
5,-2.685360822703963,Poly(4-vinyl pyridine)
7,-2.7775672443139507,Poly(4-vinyl pyridine)
8,-2.761253656755955,Poly(4-vinyl pyridine)
12,-2.957402024487198,Poly(4-vinyl pyridine)
0,8.808861968453513,PAN
5,8.087797029878084,PAN
7,7.9947737793953815,PAN
8,7.948174214587708,PAN
12,7.880611324376387,PAN
