Filler Content (%),Modulus Of Elasticity (GPa)
0.3530966170035277,1.5584606642334256,PTFCE
5.176758457542617,1.2220127157968652,PTFCE
7.7074372355733995,1.0839598089836218,PTFCE
14.551115451330931,0.85258706355904,PTFCE
14.91932522539495,0.8589773058353817,PTFCE
18.823024590361296,0.7718710302732907,PTFCE
0.3530966170035277,-5.851705846041112,Silicone rubber
5.176758457542617,-6.77951946518967,Silicone rubber
7.7074372355733995,-6.931250472412375,Silicone rubber
14.551115451330931,-7.005532754200206,Silicone rubber
14.91932522539495,-7.007393873967555,Silicone rubber
18.823024590361296,-7.014133659870856,Silicone rubber
0.3530966170035277,1.2147187123889283,PPSU
5.176758457542617,2.894286746973339,PPSU
7.7074372355733995,5.2708777505910485,PPSU
14.551115451330931,6.399459611766973,PPSU
14.91932522539495,9.431072356685805,PPSU
18.823024590361296,7.665823037239844,PPSU
0.3530966170035277,1.5923282119514046,PA 6T
5.176758457542617,6.52185889472004,PA 6T
7.7074372355733995,17.477686207298692,PA 6T
14.551115451330931,17.055042505132562,PA 6T
14.91932522539495,226.9031994143373,PA 6T
18.823024590361296,-28.92219116815314,PA 6T
0.3530966170035277,-2.0368461271737877,PA 66
5.176758457542617,-2.6780016660363453,PA 66
7.7074372355733995,-2.767639143787567,PA 66
14.551115451330931,-2.875128472583219,PA 66
14.91932522539495,-2.8758443982585074,PA 66
18.823024590361296,-2.883976492019587,PA 66
