Crystallinity (%),Magnetoresistance
3,2.6280688960984615,BaTiO3/Poly(4-vinyl pyridine)
7,2.399037344425241,BaTiO3/Poly(4-vinyl pyridine)
10,2.125444584535814,BaTiO3/Poly(4-vinyl pyridine)
12,2.019930994489367,BaTiO3/Poly(4-vinyl pyridine)
17,1.915625226681852,BaTiO3/Poly(4-vinyl pyridine)
18,1.9066126002509811,BaTiO3/Poly(4-vinyl pyridine)
3,-6.10319726656701,Morrocan montmorillonite/Poly(4-vinyl pyridine)
7,-5.126092628789069,Morrocan montmorillonite/Poly(4-vinyl pyridine)
10,-1.216262249557964,Morrocan montmorillonite/Poly(4-vinyl pyridine)
12,-4.554251601838875,Morrocan montmorillonite/Poly(4-vinyl pyridine)
17,1.3306558253159846,Morrocan montmorillonite/Poly(4-vinyl pyridine)
18,-3.7044012318617066,Morrocan montmorillonite/Poly(4-vinyl pyridine)
3,0.8722186901711451,silver hexafluoroantimonate/Poly(4-vinyl pyridine)
7,0.6060692657835677,silver hexafluoroantimonate/Poly(4-vinyl pyridine)
10,0.5404135369733396,silver hexafluoroantimonate/Poly(4-vinyl pyridine)
12,0.5167909234231546,silver hexafluoroantimonate/Poly(4-vinyl pyridine)
17,0.4980768425107184,silver hexafluoroantimonate/Poly(4-vinyl pyridine)
18,0.49690785541826304,silver hexafluoroantimonate/Poly(4-vinyl pyridine)
3,3.090811915817749,aluminum/Poly(4-vinyl pyridine)
7,2.841059003777233,aluminum/Poly(4-vinyl pyridine)
10,2.7784465916349803,aluminum/Poly(4-vinyl pyridine)
12,2.7552606117373144,aluminum/Poly(4-vinyl pyridine)
17,2.73364441608142,aluminum/Poly(4-vinyl pyridine)
18,2.732360226746006,aluminum/Poly(4-vinyl pyridine)
3,-2.318686201900224,Organophilic clay/Poly(4-vinyl pyridine)
7,-3.2207215491722674,Organophilic clay/Poly(4-vinyl pyridine)
10,0.3220663391784262,Organophilic clay/Poly(4-vinyl pyridine)
12,-0.5823068646404108,Organophilic clay/Poly(4-vinyl pyridine)
17,1.4197356914762,Organophilic clay/Poly(4-vinyl pyridine)
18,12.617558604926915,Organophilic clay/Poly(4-vinyl pyridine)
