wt%,Electric Field Strength (V/m)
0,7.628933783243736,talc/ABS
2,7.307912478442607,talc/ABS
3,7.264560373718141,talc/ABS
7,9.061475990564983,talc/ABS
13,9.058485032499373,talc/ABS
19,12.810596058073141,talc/ABS
1.0119120296425321,5.947907795478304,"Iron (II,III) Oxide/ABS"
4.88869391223173,7.686753556739399,"Iron (II,III) Oxide/ABS"
5.409968200214319,13.067352384665478,"Iron (II,III) Oxide/ABS"
9.104021538419847,29.716528958350352,"Iron (II,III) Oxide/ABS"
12.303371142271704,81.892415777005,"Iron (II,III) Oxide/ABS"
16.657007439326872,194.37728602989839,"Iron (II,III) Oxide/ABS"
4.331333137879733,-2.263662317837009,Synthetic fluorine mica/ABS
5.136746093531041,-2.175980648619222,Synthetic fluorine mica/ABS
5.51993325593191,-2.3613499109520677,Synthetic fluorine mica/ABS
7.805773041511439,-2.415109677451799,Synthetic fluorine mica/ABS
10.634874341835133,-2.513173317617779,Synthetic fluorine mica/ABS
16.73503666704532,-2.6663830159340183,Synthetic fluorine mica/ABS
6,-2.909003095373464,CaCO3/ABS
10,-3.012954533091153,CaCO3/ABS
11,-3.030906736617007,CaCO3/ABS
12,-3.0399207370892825,CaCO3/ABS
15,-3.0569615310499474,CaCO3/ABS
17,-3.061191047089003,CaCO3/ABS
0.9639100306098491,7.793080371795417,Triphenyl phosphate/ABS
0.9759562714919179,8.151827867467878,Triphenyl phosphate/ABS
1.3241736510806579,8.456105602576683,Triphenyl phosphate/ABS
9.467866625276052,10.072617289594673,Triphenyl phosphate/ABS
13.78750326293934,10.898471444825963,Triphenyl phosphate/ABS
14.841448152591209,11.393822960113408,Triphenyl phosphate/ABS
