Reaction Time (h),Crystallinity (%)
7,-5.331134973508238,0.64% MoS2
8,-5.37533780455333,0.64% MoS2
10,-5.427487267014308,0.64% MoS2
11,-5.444726470743068,0.64% MoS2
14,-5.467044092139724,0.64% MoS2
15,-5.471152671053334,0.64% MoS2
7,4.438654264286317,0.32% MoS2
8,4.430571750443147,0.32% MoS2
10,4.387971224979138,0.32% MoS2
11,4.375918389472385,0.32% MoS2
14,4.356122780299297,0.32% MoS2
15,4.352438788097628,0.32% MoS2
7,7.394175761564826,0.81% MoS2
8,4.039694189560169,0.81% MoS2
10,42.74572557735658,0.81% MoS2
11,28.067426115567613,0.81% MoS2
14,29.67852929123222,0.81% MoS2
15,52.311745591414066,0.81% MoS2
7,4.640967487172892,0.27% MoS2
8,5.341213663029481,0.27% MoS2
10,6.513253210187214,0.27% MoS2
11,6.764383386210366,0.27% MoS2
14,13.122509826617309,0.27% MoS2
15,8.909890756796036,0.27% MoS2
7,-0.823128757328164,0.48% MoS2
8,-0.822269365960897,0.48% MoS2
10,-0.8661469107460826,0.48% MoS2
11,-0.8791988622110825,0.48% MoS2
14,-0.9057286400744383,0.48% MoS2
15,-0.9083924878937109,0.48% MoS2
