Pressure (Pa),Oxidation Potential (V)
0,4.47658127173381,0.24% TiO2
6,3.8041122202244724,0.24% TiO2
9,3.583878321422508,0.24% TiO2
12,3.421693615643355,0.24% TiO2
16,3.3476599760730235,0.24% TiO2
0,7.7518993027743575,0.7% TiO2
6,9.016447910919222,0.7% TiO2
9,8.919449570614502,0.7% TiO2
12,13.195560804038307,0.7% TiO2
16,10.898080221768897,0.7% TiO2
0,5.965317056844994,0.78% TiO2
6,5.8421281873734845,0.78% TiO2
9,10.02595289935777,0.78% TiO2
12,9.444872488232104,0.78% TiO2
16,10.863608271248072,0.78% TiO2
0,7.728887627182219,0.67% TiO2
6,8.819982444917482,0.67% TiO2
9,5.808211868430283,0.67% TiO2
12,9.11221508718647,0.67% TiO2
16,10.185162432701588,0.67% TiO2
