Curing Time (min),Magnetoresistance
2,6.8349418062809395,multi-wall carbon nanotubes/PPSU
7,16.394058092900334,multi-wall carbon nanotubes/PPSU
9,34.213416425703784,multi-wall carbon nanotubes/PPSU
11,37.04341856522997,multi-wall carbon nanotubes/PPSU
18,479.3340358844231,multi-wall carbon nanotubes/PPSU
19,717.6095016131017,multi-wall carbon nanotubes/PPSU
2,8.578830550805286,Silver hexafluoroantimonate/PPSU
7,9.465058169465557,Silver hexafluoroantimonate/PPSU
9,10.115148308646383,Silver hexafluoroantimonate/PPSU
11,11.547290444554605,Silver hexafluoroantimonate/PPSU
18,16.416899712729403,Silver hexafluoroantimonate/PPSU
19,6.982799309756987,Silver hexafluoroantimonate/PPSU
2,7.990512155615455,Paraffinum liquidum/PPSU
7,9.565284392319247,Paraffinum liquidum/PPSU
9,11.278660842065538,Paraffinum liquidum/PPSU
11,10.961007408055181,Paraffinum liquidum/PPSU
18,20.90216844611367,Paraffinum liquidum/PPSU
19,11.49180653508132,Paraffinum liquidum/PPSU
2,5.023165240881915,graphene platelet/PPSU
7,4.621844240822327,graphene platelet/PPSU
9,4.505020572233509,graphene platelet/PPSU
11,4.424034177052322,graphene platelet/PPSU
18,4.263769050872789,graphene platelet/PPSU
19,4.248037737594579,graphene platelet/PPSU
