Ultrasound Time (min),Hysteresis Loss (J/m³)
8,3.0917651273027102,Polyamide-imide
11,51.802278569997995,Polyamide-imide
13,72.996445330726,Polyamide-imide
8,7.061299163617452,Poly-trifluoroethylene
11,7.041000240443726,Poly-trifluoroethylene
13,7.362916614140976,Poly-trifluoroethylene
8,-3.6075721378075785,Poly(vinyl butyral)
11,-3.6617733652071975,Poly(vinyl butyral)
13,-3.683171771770081,Poly(vinyl butyral)
8,0.9459545190071017,COC
11,0.20653548636368857,COC
13,-0.45963387583934434,COC
8,-0.29957838055004116,PTFCE
11,2.1030169724212397,PTFCE
13,-0.13383307374349007,PTFCE
