Drying Temperature (°C),Complex Modulus (Pa)
1,-4.70075634630839,Sepiolite/bisphenol-A phthalonitrile resin
15,156.57082977757057,Sepiolite/bisphenol-A phthalonitrile resin
16,214.9772916677003,Sepiolite/bisphenol-A phthalonitrile resin
17,-59.168521380630025,Sepiolite/bisphenol-A phthalonitrile resin
4,2.1122981483220333,Al2O3/bisphenol-A phthalonitrile resin
12,5.275222196264521,Al2O3/bisphenol-A phthalonitrile resin
13,3.565582514253104,Al2O3/bisphenol-A phthalonitrile resin
17,2.1990484394687515,Al2O3/bisphenol-A phthalonitrile resin
5,8.180722174077198,exfoliated graphene/bisphenol-A phthalonitrile resin
10,7.88833056486051,exfoliated graphene/bisphenol-A phthalonitrile resin
13,7.793537905795377,exfoliated graphene/bisphenol-A phthalonitrile resin
16,7.742621809109526,exfoliated graphene/bisphenol-A phthalonitrile resin
