Particle Size (nm),Toughness (MJ/m³)
1,4.834236388618335,Poly(styrene-b-butadiene)
5,4.374821176074791,Poly(styrene-b-butadiene)
9,4.196981499461327,Poly(styrene-b-butadiene)
10,4.129155271294112,Poly(styrene-b-butadiene)
11,4.0576829763488895,Poly(styrene-b-butadiene)
18,3.921032158563226,Poly(styrene-b-butadiene)
1,3.9118927390702387,Poly(ether ether ketone)
5,4.304502117132215,Poly(ether ether ketone)
9,4.1084269132167925,Poly(ether ether ketone)
10,4.6235467495461515,Poly(ether ether ketone)
11,8.461465917678314,Poly(ether ether ketone)
18,12.010377443135383,Poly(ether ether ketone)
1,2.679299456819848,PDMS
5,3.2186480883199473,PDMS
9,3.8948498067260795,PDMS
10,3.9637275271814945,PDMS
11,4.152838849906969,PDMS
18,-2.4543982099702477,PDMS
