Ultrasound Time (min),Loss Factor
0,6.495677651794981,Organophilic clay/Fluoroelastomer
5,5.976928884536755,Organophilic clay/Fluoroelastomer
7,5.7728681823151415,Organophilic clay/Fluoroelastomer
8,5.809173544905794,Organophilic clay/Fluoroelastomer
9,5.693031378303684,Organophilic clay/Fluoroelastomer
15,5.530715019392411,Organophilic clay/Fluoroelastomer
0,-0.6369890174209676,9-Anthracenemethanol/Fluoroelastomer
6,4.732617413504506,9-Anthracenemethanol/Fluoroelastomer
8,6.506478315747023,9-Anthracenemethanol/Fluoroelastomer
12,37.17137976377677,9-Anthracenemethanol/Fluoroelastomer
13,40.65582363318533,9-Anthracenemethanol/Fluoroelastomer
16,250.70296398899015,9-Anthracenemethanol/Fluoroelastomer
1,0.44751709324760114,TiNTs/Fluoroelastomer
2,1.5941919710040158,TiNTs/Fluoroelastomer
9,14.109447433972674,TiNTs/Fluoroelastomer
10,19.168810176412833,TiNTs/Fluoroelastomer
12,32.23131727013109,TiNTs/Fluoroelastomer
14,6.421481376545378,TiNTs/Fluoroelastomer
0.061590485979767795,1.6557256824457671,SiC powder/Fluoroelastomer
0.5176674585861751,1.9443026513088075,SiC powder/Fluoroelastomer
2.17888631271538,2.00642877898429,SiC powder/Fluoroelastomer
4.957621234295255,2.3759833867545277,SiC powder/Fluoroelastomer
14.411508854375985,1.3367834678496555,SiC powder/Fluoroelastomer
18.94564947505889,-8.723824849189409,SiC powder/Fluoroelastomer
8.419456801122422,10.245073475431392,TiO2/Fluoroelastomer
10.860524046735371,23.66557305461209,TiO2/Fluoroelastomer
15.004011872881659,121.6694161098932,TiO2/Fluoroelastomer
17.284100762370237,-292.8711746706684,TiO2/Fluoroelastomer
18.386559538848473,310.2728547130628,TiO2/Fluoroelastomer
19.8623453238648,1243.6308243098701,TiO2/Fluoroelastomer
