Decomposition Temperature (°C),Degradation Temperature (°C)
1,7.825520083373593,
7,8.679846220663707,
9,11.207617215780974,
11,10.367410503601809,
12,11.511031383687989,
1,9.054055953769861,
7,9.710468417589166,
9,9.053293067325392,
11,8.97795007895461,
12,10.51570715981035,
1,0.8597482389081372,
7,0.180792295358373,
9,0.1387445761896684,
11,0.06040082448491968,
12,0.044254756563033015,
1,-6.894874625241879,
7,-7.490325528255155,
9,-7.550159724257626,
11,-7.5838550463029115,
12,-7.594462264796707,
1,3.433578721961584,
7,2.9289644735815936,
9,2.753993381382507,
11,2.743745540560365,
12,2.7014851765262256,
