Drying Time (h),Oxidation Potential (V)
0.6189188601472662,5.615364847941343,Zirconium dioxide/Polyamide-imide
2.7138859855354047,5.53695556102443,Zirconium dioxide/Polyamide-imide
8.73896267000793,5.083547711438914,Zirconium dioxide/Polyamide-imide
10.79214663158078,5.052917881749925,Zirconium dioxide/Polyamide-imide
16.602535904448306,5.019347198148839,Zirconium dioxide/Polyamide-imide
0.6189188601472662,-5.563708857944254,Ag/Polyamide-imide
2.7138859855354047,-5.552820998758489,Ag/Polyamide-imide
8.73896267000793,-6.057088882535253,Ag/Polyamide-imide
10.79214663158078,-6.165260428311609,Ag/Polyamide-imide
16.602535904448306,-6.300808013361714,Ag/Polyamide-imide
0.6189188601472662,7.620012387129675,silver hexafluoroantimonate/Polyamide-imide
2.7138859855354047,7.458113632734076,silver hexafluoroantimonate/Polyamide-imide
8.73896267000793,7.073489723606763,silver hexafluoroantimonate/Polyamide-imide
10.79214663158078,7.043232575581365,silver hexafluoroantimonate/Polyamide-imide
16.602535904448306,7.010154515877658,silver hexafluoroantimonate/Polyamide-imide
0.6189188601472662,6.911893685088167,Gold/Polyamide-imide
2.7138859855354047,7.51086631665656,Gold/Polyamide-imide
8.73896267000793,9.835116258803097,Gold/Polyamide-imide
10.79214663158078,11.072417768441994,Gold/Polyamide-imide
16.602535904448306,10.074914398116265,Gold/Polyamide-imide
0.6189188601472662,9.00200351683502,MWCNT/Polyamide-imide
2.7138859855354047,8.686845186420038,MWCNT/Polyamide-imide
8.73896267000793,8.396148226210585,MWCNT/Polyamide-imide
10.79214663158078,8.295379902816883,MWCNT/Polyamide-imide
16.602535904448306,8.15867025687539,MWCNT/Polyamide-imide
