Shear Rate (1/s),Heat Of Crystallization (J/g)
3,11.474943443033125,PA 12
5,8.771239984531869,PA 12
6,13.272110855677226,PA 12
10,29.490606452059346,PA 12
12,60.46230711307462,PA 12
17,206.53965922127094,PA 12
3,1.6377040382620294,Cellulose acetate butyrate
5,1.3308181800770265,Cellulose acetate butyrate
6,1.2733898232708785,Cellulose acetate butyrate
10,1.1504746809140212,Cellulose acetate butyrate
12,1.1308811281872502,Cellulose acetate butyrate
17,1.1116548574116571,Cellulose acetate butyrate
3,2.3616945376639396,Poly(2-hydroxyethyl methacrylate)
5,2.1531594627801374,Poly(2-hydroxyethyl methacrylate)
6,2.216470530813724,Poly(2-hydroxyethyl methacrylate)
10,2.0113032585669055,Poly(2-hydroxyethyl methacrylate)
12,1.965580028655044,Poly(2-hydroxyethyl methacrylate)
17,1.8454798385627302,Poly(2-hydroxyethyl methacrylate)
3,-4.290705221159792,Poly(2-vinyl pyridine)
5,-4.463304768711406,Poly(2-vinyl pyridine)
6,-3.835346424480503,Poly(2-vinyl pyridine)
10,0.11058700347108896,Poly(2-vinyl pyridine)
12,0.34471548100293425,Poly(2-vinyl pyridine)
17,-2.287698730675258,Poly(2-vinyl pyridine)
3,0.8816668809854054,Poly(ethyl methacrylate)
5,2.2179606028241747,Poly(ethyl methacrylate)
6,1.5434940730687428,Poly(ethyl methacrylate)
10,3.959473655584164,Poly(ethyl methacrylate)
12,1.7960374559405712,Poly(ethyl methacrylate)
17,5.213707852804115,Poly(ethyl methacrylate)
