Young’s Modulus (GPa),Compression Strength (MPa)
0.5050952125355113,-1.0417806801819536,9-Anthracenemethanol/PVP
1.068642894252747,-0.9625011348706074,9-Anthracenemethanol/PVP
7.405130596677552,-1.687334016200074,9-Anthracenemethanol/PVP
2,-2.1128717958657823,Dodecylbenzenesulfonic acid/PVP
11,-2.364505612920974,Dodecylbenzenesulfonic acid/PVP
13,-2.4136585222347007,Dodecylbenzenesulfonic acid/PVP
4,1.1464288961231421,Reduced graphene oxide/PVP
5,1.57221983620527,Reduced graphene oxide/PVP
9,18.280101059090985,Reduced graphene oxide/PVP
5.922891622002426,5.7304173373440435,Colloidal silica/PVP
17.929551829007877,1.4036586019373871,Colloidal silica/PVP
19.0148669367875,-79.9090283189581,Colloidal silica/PVP
8,-0.3903019551838224,Silver/PVP
9,-0.38815504031064163,Silver/PVP
18,-0.6251304531734065,Silver/PVP
