Strain,Poisson’s Ratio
1,-3.3667884518256668,multi-walled carbon nanotube/PA 6
4,-2.872984840123612,multi-walled carbon nanotube/PA 6
9,0.11183707808776333,multi-walled carbon nanotube/PA 6
13,1.8862043301470504,multi-walled carbon nanotube/PA 6
15,5.293268196273406,multi-walled carbon nanotube/PA 6
1,7.110253710702672,SiO2/PA 6
4,9.342770370831591,SiO2/PA 6
9,22.224876194467967,SiO2/PA 6
13,49.08980899916511,SiO2/PA 6
15,281.05322531228734,SiO2/PA 6
1,-4.441697582938815,Barium Titanate/PA 6
4,-3.749691496315193,Barium Titanate/PA 6
9,-3.9181133718915895,Barium Titanate/PA 6
13,-3.3181839950714225,Barium Titanate/PA 6
15,3.944447471222915,Barium Titanate/PA 6
1,2.554089580071395,graphene/PA 6
4,2.081582363429124,graphene/PA 6
9,1.8245612587372497,graphene/PA 6
13,1.7682659523514086,graphene/PA 6
15,1.7595861462739453,graphene/PA 6
1,-1.8863650452605665,nanosilica/PA 6
4,-2.415435311171767,nanosilica/PA 6
9,-2.627120437323103,nanosilica/PA 6
13,-2.67300056065994,nanosilica/PA 6
15,-2.6815452570095912,nanosilica/PA 6
