filler labels,Thermal Expansion (1/K)
7.379111475523796,14.840899819737885,Poly(benzoxazine)
8.143393640261301,17.110084788762194,Poly(benzoxazine)
10.26691692918018,8.827202601075765,Poly(benzoxazine)
16.003009756063623,33.14751705647039,Poly(benzoxazine)
16.19925864954039,172.54858362687364,Poly(benzoxazine)
19.176856706544257,121.99486480427448,Poly(benzoxazine)
1,-6.09447612332338,PBA-a
5,-6.555892859818481,PBA-a
9,-6.712102670208262,PBA-a
10,-6.724107691703196,PBA-a
15,-6.7600823545506,PBA-a
19,-6.767940401375218,PBA-a
5.003360733139807,15.041381461838501,VER
9.342085943806735,22.131357883676465,VER
12.224901408216098,52.46669490538816,VER
12.5234844370515,79.10148382394972,VER
15.70272848273535,357.4230655727062,VER
19.419342287699127,735.6937044211127,VER
6.79675417109215,-6.6666693727637005,COC
8.720618905565487,-6.73175388345246,COC
12.788839447064548,-6.9024839417197565,COC
16.980369027321775,-7.024852142815044,COC
17.581940045017088,-7.039794901344695,COC
18.282489443781817,-7.041143068057902,COC
0,5.80769872839534,S-SBR
1,5.985799439927538,S-SBR
2,5.722542007019806,S-SBR
4,6.188234612079545,S-SBR
14,10.195048730580222,S-SBR
15,6.002385344842025,S-SBR
