Stirring Speed (rpm),Particle Size (nm)
2.391117977757997,4.346356962907206,P4VP
8.197641765708175,3.331128315023056,P4VP
8.785759937565135,4.460131601083946,P4VP
8.998837047766838,5.657592999586207,P4VP
16.843367776352203,8.544934306298426,P4VP
17.964822150190326,7.635587164070134,P4VP
0.4053644464794304,5.157130672705544,PRX
0.44544167675635515,5.000999553468798,PRX
7.814725391487169,4.2260374377809615,PRX
12.052180810984721,4.159725727880569,PRX
12.564437713751387,4.152906074479403,PRX
16.753515700672928,4.137632313311408,PRX
