Strain,Flexural Strength (MPa)
5,0.09735151808048981,Poly(alpha-methylstyrene)
7,6.00930516127444,Poly(alpha-methylstyrene)
9,10.423451656326456,Poly(alpha-methylstyrene)
13,13.391122059986387,Poly(alpha-methylstyrene)
19,546.2568707269879,Poly(alpha-methylstyrene)
5,5.632356683367524,triglycidyl para-aminophenol
7,5.494604685275072,triglycidyl para-aminophenol
9,5.459046295926222,triglycidyl para-aminophenol
13,5.2265672990631336,triglycidyl para-aminophenol
19,5.132588080420232,triglycidyl para-aminophenol
5,7.988581209376934,PP
7,11.388300804292477,PP
9,25.424690599513312,PP
13,58.66634677874838,PP
19,175.56465269235454,PP
5,1.8137832990393923,Silicone rubber
7,11.57870119694716,Silicone rubber
9,20.276450962346367,Silicone rubber
13,22.976956515133146,Silicone rubber
19,717.0886813113395,Silicone rubber
