Heat Capacity (J/K),Tg (°C)
8,-4.442890414342118,Buckminsterfullerene/Sodium polyacrylate
10,-4.476445984764356,Buckminsterfullerene/Sodium polyacrylate
13,-4.507989161737606,Buckminsterfullerene/Sodium polyacrylate
14,-4.515601280942924,Buckminsterfullerene/Sodium polyacrylate
8,7.190594568915292,Aluminium/Sodium polyacrylate
10,7.150151016499286,Aluminium/Sodium polyacrylate
13,7.115831510650302,Aluminium/Sodium polyacrylate
14,7.1099879897047575,Aluminium/Sodium polyacrylate
8,12.046550191381913,Carbon Black/Sodium polyacrylate
10,12.23471261499264,Carbon Black/Sodium polyacrylate
13,100.84774458209766,Carbon Black/Sodium polyacrylate
14,112.57839964675614,Carbon Black/Sodium polyacrylate
8,8.295224815871343,zinc oxide/Sodium polyacrylate
10,7.9016121322241855,zinc oxide/Sodium polyacrylate
13,7.117881968964984,zinc oxide/Sodium polyacrylate
14,11.863688905843574,zinc oxide/Sodium polyacrylate
8,2.6740384728810263, Graphite/Sodium polyacrylate
10,25.328722231426653, Graphite/Sodium polyacrylate
13,33.61264537718758, Graphite/Sodium polyacrylate
14,57.03823471174026, Graphite/Sodium polyacrylate
