Exposure Time (h),Shear Viscosity (Pa·s)
1.0222776760140073,-6.8281595253277,Single-wall carbon nanotubes/Poly(ethylene glycol)
1.7830898904686276,-7.268240305032739,Single-wall carbon nanotubes/Poly(ethylene glycol)
6.030283276145538,-7.382242228827699,Single-wall carbon nanotubes/Poly(ethylene glycol)
6.989990940870417,-7.41682109501045,Single-wall carbon nanotubes/Poly(ethylene glycol)
7.4320448297138615,-7.400918188038687,Single-wall carbon nanotubes/Poly(ethylene glycol)
15.979694804923131,-7.73976158050214,Single-wall carbon nanotubes/Poly(ethylene glycol)
1.0222776760140073,7.306681999504561,Silicon dioxide/Poly(ethylene glycol)
1.7830898904686276,6.976963188794205,Silicon dioxide/Poly(ethylene glycol)
6.030283276145538,6.829065310231576,Silicon dioxide/Poly(ethylene glycol)
6.989990940870417,6.986511293879304,Silicon dioxide/Poly(ethylene glycol)
7.4320448297138615,8.209808680159728,Silicon dioxide/Poly(ethylene glycol)
15.979694804923131,9.687720210703155,Silicon dioxide/Poly(ethylene glycol)
