Electric Field (V/m),Pore Volume (cm³/g)
4.6224953092978005,5.841588196753317,0.55% C.I. Pigment Black 6
8.65558445586835,6.59192855251794,0.55% C.I. Pigment Black 6
16.43914126307585,8.274486535691276,0.55% C.I. Pigment Black 6
18.863292574861706,4.731004967813917,0.55% C.I. Pigment Black 6
4.6224953092978005,1.4139160527849186,0.45% C.I. Pigment Black 6
8.65558445586835,1.2568258129232968,0.45% C.I. Pigment Black 6
16.43914126307585,1.1871165881720216,0.45% C.I. Pigment Black 6
18.863292574861706,1.18318538305282,0.45% C.I. Pigment Black 6
4.6224953092978005,3.66008183940348,0.18% C.I. Pigment Black 6
8.65558445586835,3.462638431901044,0.18% C.I. Pigment Black 6
16.43914126307585,3.3925866145398227,0.18% C.I. Pigment Black 6
18.863292574861706,3.3889522066029523,0.18% C.I. Pigment Black 6
4.6224953092978005,-0.8109759432297865,0.78% C.I. Pigment Black 6
8.65558445586835,-0.9754396689346739,0.78% C.I. Pigment Black 6
16.43914126307585,-1.2400174053593007,0.78% C.I. Pigment Black 6
18.863292574861706,-1.2714939056724068,0.78% C.I. Pigment Black 6
