Specific Heat Capacity (J/(g·K)),Coefficient Of Thermal Expansion (1/K)
1.794664987514658,2.505821367140001,0.57% Al2O3
3.087823028595875,2.4568250419206796,0.57% Al2O3
3.9566083338537483,2.381669832423012,0.57% Al2O3
12.721231311329134,2.080085231939708,0.57% Al2O3
14.20418096618489,2.0469709539142875,0.57% Al2O3
1.794664987514658,1.7493982890310795,0.53% Al2O3
3.087823028595875,1.4179769426170545,0.53% Al2O3
3.9566083338537483,1.4106729813621661,0.53% Al2O3
12.721231311329134,1.1475839041041183,0.53% Al2O3
14.20418096618489,1.1403504802563305,0.53% Al2O3
1.794664987514658,1.8367086567508253,0.25% Al2O3
3.087823028595875,1.927060961929911,0.25% Al2O3
3.9566083338537483,1.7710618932004771,0.25% Al2O3
12.721231311329134,4.510610589323468,0.25% Al2O3
14.20418096618489,7.430934087096567,0.25% Al2O3
1.794664987514658,0.539052209138843,0.7% Al2O3
3.087823028595875,0.47225219197075974,0.7% Al2O3
3.9566083338537483,0.3191508829892764,0.7% Al2O3
12.721231311329134,0.03475968566087223,0.7% Al2O3
14.20418096618489,0.007034236749612843,0.7% Al2O3
