Heat Treatment Temperature (°C),Viscosity (Pa·s)
2.5241990017356586,-2.476597518992306,Poly-trifluoroethylene
3.37012381804209,-2.5569238971580717,Poly-trifluoroethylene
8.602071060167829,-3.0052522496631555,Poly-trifluoroethylene
11.291615659662476,-3.0757104619651834,Poly-trifluoroethylene
2.5241990017356586,-6.491312671108016,Polyimide
3.37012381804209,-6.5540016638015395,Polyimide
8.602071060167829,-6.77452110919478,Polyimide
11.291615659662476,-6.950023558612682,Polyimide
2.5241990017356586,-0.3062836378643828,PEKK
3.37012381804209,-0.24661736195953965,PEKK
8.602071060167829,-0.6060538432378986,PEKK
11.291615659662476,-0.6465412052965199,PEKK
