vol%,Corrosion Rate (mm/year)
4.133103794641135,3.096787512104438,Silver nitrate/CAB
6.563211138746324,1.6482731397487767,Silver nitrate/CAB
10.210652669042721,4.6178939843241285,Silver nitrate/CAB
13.30390431424082,2.1025663611507848,Silver nitrate/CAB
1.1929787702323025,0.7518164161980594,Paraffinum liquidum/CAB
6.116889960331024,2.065253808022811,Paraffinum liquidum/CAB
7.702055512025414,3.022475722979755,Paraffinum liquidum/CAB
16.659632591716946,-1.401894739545729,Paraffinum liquidum/CAB
5,8.534037353633163,Fe3O4/CAB
6,11.386294748361985,Fe3O4/CAB
12,26.266682958498556,Fe3O4/CAB
14,53.030025810589514,Fe3O4/CAB
0,6.774694762000745,Poly(acrylonitrile)/CAB
1,7.075467111383216,Poly(acrylonitrile)/CAB
11,46.67930583300873,Poly(acrylonitrile)/CAB
12,46.89765546771937,Poly(acrylonitrile)/CAB
4.887335784392446,5.995691372995652,barium titanate/CAB
8.568987378257367,15.088072417662605,barium titanate/CAB
12.243041351798391,28.423298134339838,barium titanate/CAB
14.325794062022329,150.30785363582177,barium titanate/CAB
