Thermal Conductivity (W/(m·K)),Crystallinity (%)
6.785569638931479,-0.3108522969672457,9-Anthracenemethanol/PVC
10.645874622032828,-0.4167123901947575,9-Anthracenemethanol/PVC
13.10958808433481,-0.43641185231288865,9-Anthracenemethanol/PVC
17.54722933039545,-0.4522071670772972,9-Anthracenemethanol/PVC
8,1.2711841147931897,Triphenyl phosphate/PVC
10,1.2379539185998074,Triphenyl phosphate/PVC
15,1.2006818250434261,Triphenyl phosphate/PVC
16,1.19715968749438,Triphenyl phosphate/PVC
6.355153870244703,-7.643498883088694,Titanium dioxide/PVC
7.5059673590765446,-7.699250721649975,Titanium dioxide/PVC
18.61476241470762,-7.810100533476266,Titanium dioxide/PVC
19.845473918055504,-7.811127687537449,Titanium dioxide/PVC
0.433114772715566,-6.4339035086053835,Barium strontium titanate/PVC
2.289268617094997,-5.6029416311684725,Barium strontium titanate/PVC
2.62953255635185,-5.066226760430643,Barium strontium titanate/PVC
9.743226501210502,9.722635572956696,Barium strontium titanate/PVC
