Ion Beam Dose (Gy),Hysteresis Loss (J/m³)
0.49792488228051823,0.8547801163119892,Ag/Epoxy novolac viny ester resin
8.27169133667206,0.14550305193309038,Ag/Epoxy novolac viny ester resin
8.521458718268715,0.052432281329840624,Ag/Epoxy novolac viny ester resin
12.610163956501717,0.0166429705665313,Ag/Epoxy novolac viny ester resin
16.86306896385129,-0.10051505376526007,Ag/Epoxy novolac viny ester resin
18.30150088309923,-0.12424244162105044,Ag/Epoxy novolac viny ester resin
0.49792488228051823,-2.441126637581976,silica gel/Epoxy novolac viny ester resin
8.27169133667206,-3.2766159815702873,silica gel/Epoxy novolac viny ester resin
8.521458718268715,-3.278048426461764,silica gel/Epoxy novolac viny ester resin
12.610163956501717,-3.343202897080854,silica gel/Epoxy novolac viny ester resin
16.86306896385129,-3.3590801857571,silica gel/Epoxy novolac viny ester resin
18.30150088309923,-3.3606291313807177,silica gel/Epoxy novolac viny ester resin
0.49792488228051823,-0.7526673110029727,Poly(vinyl alcohol)/Epoxy novolac viny ester resin
8.27169133667206,-1.288449218297799,Poly(vinyl alcohol)/Epoxy novolac viny ester resin
8.521458718268715,-1.3019585204212771,Poly(vinyl alcohol)/Epoxy novolac viny ester resin
12.610163956501717,-1.4432249717245174,Poly(vinyl alcohol)/Epoxy novolac viny ester resin
16.86306896385129,-1.538616517429582,Poly(vinyl alcohol)/Epoxy novolac viny ester resin
18.30150088309923,-1.5472487201659404,Poly(vinyl alcohol)/Epoxy novolac viny ester resin
