Thermal Diffusivity (mm²/s),Zero-shear Viscosity (Pa·s)
0.27118275943289527,6.220843365489084,Graphite Nanoplatelets/PBD
1.6527663510745794,5.846059157240322,Graphite Nanoplatelets/PBD
18.27552385744611,5.306758109912412,Graphite Nanoplatelets/PBD
0.27118275943289527,8.112716961974872,Magnesium oxide/PBD
1.6527663510745794,7.855886234444669,Magnesium oxide/PBD
18.27552385744611,7.147190820394299,Magnesium oxide/PBD
0.27118275943289527,8.511867447160094,Carbon black/PBD
1.6527663510745794,8.20484366756482,Carbon black/PBD
18.27552385744611,7.50231994664299,Carbon black/PBD
0.27118275943289527,3.117838391607095,Titanium Dioxide/PBD
1.6527663510745794,3.9938315844156613,Titanium Dioxide/PBD
18.27552385744611,-110.55677666899814,Titanium Dioxide/PBD
