Particle Size (nm),Loss Modulus (Pa)
2,4.799340246681821,0.4% carbon nanofibers/SBR
6,9.4840930772225,0.4% carbon nanofibers/SBR
9,19.28782253659306,0.4% carbon nanofibers/SBR
15,105.74683521915641,0.4% carbon nanofibers/SBR
16,104.54988154653479,0.4% carbon nanofibers/SBR
1.049271017763338,-3.123841417114239,0.1% carbon nanofibers/SBR
5.917611499448878,2.3291340132163114,0.1% carbon nanofibers/SBR
8.160064589283634,-3.0285954976615024,0.1% carbon nanofibers/SBR
9.144165823220785,6.474353053900996,0.1% carbon nanofibers/SBR
16.312904466816633,119.26959389974601,0.1% carbon nanofibers/SBR
