Light Intensity (W/m²),Heat Of Crystallization (J/g)
1.0804708383453332,-4.929560952907048,
1.8505585666997448,-5.232476813312868,
4.132887120862172,-5.290959698379112,
4.480625760787236,-5.383854523864873,
4.71537878994523,-5.490094064950104,
1.0804708383453332,-1.0344028408402646,
1.8505585666997448,-0.6622468227203315,
4.132887120862172,-0.7113813945449046,
4.480625760787236,-0.7468571290638364,
4.71537878994523,-0.6239431552844668,
1.0804708383453332,-3.4103536997626334,
1.8505585666997448,-3.4566046130199233,
4.132887120862172,0.36060618333890737,
4.480625760787236,-0.15492612634671055,
4.71537878994523,-1.9441085291242928,
1.0804708383453332,6.016841926104238,
1.8505585666997448,5.504686893439341,
4.132887120862172,5.564173394903629,
4.480625760787236,6.005626898199502,
4.71537878994523,6.743907061340658,
