Stress (Pa),Shear Viscosity (Pa·s)
10.698638267181826,3.363334592489089,P(Baph)
16.95932326832842,3.1834694507029653,P(Baph)
18.80679332544627,3.1628491203332336,P(Baph)
10.698638267181826,2.5676138506855617,Polyamide-imide
16.95932326832842,2.5352189130709153,Polyamide-imide
18.80679332544627,2.532514286375012,Polyamide-imide
10.698638267181826,28.469625118674422,poly-HEMA
16.95932326832842,436.67450649344875,poly-HEMA
18.80679332544627,43.00468995477553,poly-HEMA
10.698638267181826,23.838722281236933,Poly(vinylidene fluoride)
16.95932326832842,550.606496011087,Poly(vinylidene fluoride)
18.80679332544627,234.0176882072161,Poly(vinylidene fluoride)
