Particle Density,Corrosion Rate (mm/year)
10,3.2701953920880107,0.36% Barium Titanate/DGEBD
13,3.2024579933464152,0.36% Barium Titanate/DGEBD
18,3.0763549994019477,0.36% Barium Titanate/DGEBD
10,3.3440298523975134,0.57% Barium Titanate/DGEBD
13,-2.4067224584194165,0.57% Barium Titanate/DGEBD
18,20.784853570030066,0.57% Barium Titanate/DGEBD
10,2.495957662505492,0.48% Barium Titanate/DGEBD
13,2.4071370372667897,0.48% Barium Titanate/DGEBD
18,2.304759880046573,0.48% Barium Titanate/DGEBD
10,7.668610312188746,0.39% Barium Titanate/DGEBD
13,7.5853876147844845,0.39% Barium Titanate/DGEBD
18,7.492371420253517,0.39% Barium Titanate/DGEBD
