Exposure Time (h),Magnetic Anisotropy (J/m³)
0.3158796261556329,-6.280270046390802,P2VP
16.279482634376443,-6.924111444275238,P2VP
17.22266182451935,-6.958370591389114,P2VP
18.935400974623725,-6.988452044873027,P2VP
0.3158796261556329,-2.3607251855140237,Poly(bisphenol A carbonate)
16.279482634376443,-3.0798656747224453,Poly(bisphenol A carbonate)
17.22266182451935,-3.082405071295368,Poly(bisphenol A carbonate)
18.935400974623725,-3.0843335200679145,Poly(bisphenol A carbonate)
0.3158796261556329,8.259304366459745,PEKK
16.279482634376443,7.160289424759001,PEKK
17.22266182451935,7.158439771511302,PEKK
18.935400974623725,7.1561788643934054,PEKK
