Ultrasound Time (min),Decomposition Temperature (°C)
3,-6.040675105354481,0.15% Al2O3
4,-6.193368057690665,0.15% Al2O3
7,-6.4032378265452365,0.15% Al2O3
8,-6.416560059984605,0.15% Al2O3
12,-6.478717994465049,0.15% Al2O3
3,-3.854262216840253,0.52% Al2O3
4,-4.482204149147085,0.52% Al2O3
7,1.1679126285020107,0.52% Al2O3
8,-1.3432626620470254,0.52% Al2O3
12,30.290139220754657,0.52% Al2O3
3,8.332551516796698,0.42% Al2O3
4,8.237599537135178,0.42% Al2O3
7,8.061299202188719,0.42% Al2O3
8,8.055389836817541,0.42% Al2O3
12,7.9845478879551,0.42% Al2O3
