Stirring Speed (rpm),Dielectric Loss
6,8.748699126759195,0.82% zinc oxide/DGEBD Epoxy Resin
7,6.904902087747555,0.82% zinc oxide/DGEBD Epoxy Resin
11,5.127156952573383,0.82% zinc oxide/DGEBD Epoxy Resin
13,8.255678865229445,0.82% zinc oxide/DGEBD Epoxy Resin
6,-5.350333751212693,0.66% zinc oxide/DGEBD Epoxy Resin
7,-5.333237247285875,0.66% zinc oxide/DGEBD Epoxy Resin
11,-5.504791720183424,0.66% zinc oxide/DGEBD Epoxy Resin
13,-5.55492532157165,0.66% zinc oxide/DGEBD Epoxy Resin
6,6.544446633226689,0.67% zinc oxide/DGEBD Epoxy Resin
7,8.553953309106456,0.67% zinc oxide/DGEBD Epoxy Resin
11,44.85376833363224,0.67% zinc oxide/DGEBD Epoxy Resin
13,4.855109166509884,0.67% zinc oxide/DGEBD Epoxy Resin
6,11.824532117327834,0.76% zinc oxide/DGEBD Epoxy Resin
7,17.532774104281426,0.76% zinc oxide/DGEBD Epoxy Resin
11,20.824872952476525,0.76% zinc oxide/DGEBD Epoxy Resin
13,67.3833466290545,0.76% zinc oxide/DGEBD Epoxy Resin
6,0.5885665692129078,0.17% zinc oxide/DGEBD Epoxy Resin
7,1.4143060109910839,0.17% zinc oxide/DGEBD Epoxy Resin
11,0.4156535574118936,0.17% zinc oxide/DGEBD Epoxy Resin
13,1.6138673239978116,0.17% zinc oxide/DGEBD Epoxy Resin
