Stirring Speed (rpm),Compression Strength (MPa)
8,-0.8702514370754759,0.15% White spirits
9,-2.252043085843178,0.15% White spirits
11,-1.9774904365318111,0.15% White spirits
13,1.7595372861028746,0.15% White spirits
8,-0.434217137932848,0.3% White spirits
9,-0.4678245320303454,0.3% White spirits
11,-0.5023799255175846,0.3% White spirits
13,-0.5157975994723898,0.3% White spirits
8,-1.3447608004166316,0.25% White spirits
9,-1.3718752024130274,0.25% White spirits
11,-1.4011877588960557,0.25% White spirits
13,-1.4196475520687233,0.25% White spirits
8,1.6226348872819782,0.02% White spirits
9,1.5923190897515105,0.02% White spirits
11,1.5645298536549495,0.02% White spirits
13,1.5507899173919026,0.02% White spirits
