Reaction Temperature (°C),Thermal Diffusivity (mm²/s)
1,5.73454194345342,0.04% Clay/Polyamide-imide
4,5.2561820645518695,0.04% Clay/Polyamide-imide
5,5.217977363052559,0.04% Clay/Polyamide-imide
6,5.176095125544609,0.04% Clay/Polyamide-imide
10,5.038024770782558,0.04% Clay/Polyamide-imide
1,5.338325221736553,0.83% Clay/Polyamide-imide
4,5.550063327214113,0.83% Clay/Polyamide-imide
5,5.9120835972522965,0.83% Clay/Polyamide-imide
6,5.479862075260574,0.83% Clay/Polyamide-imide
10,7.68551685913868,0.83% Clay/Polyamide-imide
